Title,Author,Detail URL
Perancangan Sistem Informasi Pendaftaran Dan Seleksi Kandidat Terintegrasi Pada Divisi Human Resources Di Madhava,I Gusti Ngurah Narendra Putra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14077&keywords=
Perancangan Sistem Informasi Pengolahan Dan Pengajuan Data Cuti Pegawai Pada Dinas Komunikasi Dan Informatika Command Center,Ni Made Dhea Angelika Ariadi,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14076&keywords=
Perancangan Sistem Informasi Jadwal Shift Kerja Command Center Berbasis Web Pada Diskominfo Badung Bali,I Wayan Febrian Darma Putra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14075&keywords=
"Perancangan Sistem Informasi Pengajuan Cuti Berbasis Website Pada Dinas Koperasi, UKM, Dan Perdagangan Kabupaten Badung",I Gede Ari Wiguna,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14074&keywords=
"Perancangan Sistem Informasi Buku Tamu Pada Dinas Koperasi, UKM Dan Perdagangan Kabupaten Badung Berbasis Website",I Gede Damar Negera Ari Saputra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14073&keywords=
Perancangan Sistem Informasi Penjualan Pipa Pada Mulya Material,Joyce Josephine Mulyadi,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14072&keywords=
Perancangan Sistem Pelaporan Kegiatan Mahasiswa Kerja Praktek Di Bidang PIP (Studi Kasus : Diskominfo Kabupaten Badung),I Made Adnyana Putra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14071&keywords=
Skema RPL,Ni Made Maera Prasanti,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14070&keywords=
Perancangan Sistem Informasi Absensi Mahasiswa Magang Berbasis Web Pada Dinas Perhubungan Kabupaten Badung,Kadek Dwi Panca Septiana Putra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14069&keywords=
Konten Media Sosial Dan Analisis Perkembangan Postingan Instagram PPID Badung Pada Dinas Komunikasi Dan Informatika Bidang Pengelolaan Informasi Publik Kabupaten Badung,I Wayan Eka Agus Permana,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14068&keywords=
